#{"t_start": 1599227363.373105, "env_id": "WalrusStairs-v0"}
r,l,t
-69.620225,21,38147.917785
-39.194379,29,38154.354713
-129.117344,83,38171.990185
25.210996,67,38186.326649
-28.876171,109,38209.45763
-3.13315,9,38211.711083
-81.479884,61,38224.765745
15.068922,32,38231.825053
6.425395,11,38234.497537
-80.791553,102,38255.994118
10.564938,40,38264.679198
4.570913,41,38273.697535
-64.974591,41,38282.664712
-50.216003,28,38288.902242
218.233169,215,38333.995857
-80.882016,102,38355.582343
-253.369583,126,38382.168708
-50.317434,68,38396.78805
11.113051,10,38399.25224
54.513107,26,38405.116232
-3.299109,41,38414.019349
8.479111,48,38424.404381
75.214121,21,38429.168641
6.457188,7,38431.058115
-27.961186,18,38435.290204
-9.418041,14,38438.563381
28.611656,135,38467.054455
20.917585,14,38470.381841
14.422082,10,38472.876178
22.864234,21,38477.653455
-98.272024,85,38495.798217
-58.010965,17,38499.774283
55.489687,24,38505.204334
290.906719,96,38525.69611
-22.298321,17,38529.64405
94.405195,28,38535.925828
-5.405869,2,38536.717745
123.212669,97,38557.228107
135.077868,64,38570.910991
-43.564505,52,38582.251479
17.885651,24,38587.595182
-70.588319,59,38600.269801
-71.635373,110,38623.496887
-63.501618,94,38643.446505
0.238287,8,38645.464352
-131.349588,85,38663.456201
-46.710914,45,38673.278947
-4.288734,36,38681.146498
-118.949207,184,38719.738329
-473.003011,466,38816.961892
-83.222616,71,38832.186828
-22.057545,33,38839.451348
3.609774,8,38841.532346
-61.972549,57,38853.761909
-43.088975,36,38861.647144
20.91536,21,38866.423624
-78.333661,54,38878.03779
177.321712,134,38906.209296
11.656578,10,38908.700943
-75.916942,33,38915.967214
20.080278,18,38920.116512
-29.207659,37,38928.223376
-161.842341,95,38948.373014
-6.070525,2,38949.203112
67.625946,62,38962.543865
-218.250612,170,38998.312031
-4.687246,9,39000.53656
7.614161,22,39005.482898
6.665398,14,39008.780446
6.189695,8,39010.789851
-114.500315,65,39024.714257
-5.048953,17,39028.672333
21.639388,33,39035.926456
-52.69451,73,39051.512264
-17.145998,19,39055.88857
-3.825442,11,39058.590329
-37.59732,32,39065.623896
-248.418448,241,39116.161047
-141.287428,82,39133.546469
33.71091,86,39151.955847
-23.913588,41,39160.869258
-4.681564,49,39171.417946
-100.577071,52,39182.639931
-127.097814,106,39205.04018
-16.603108,25,39210.661366
23.914856,50,39221.418267
-113.093211,64,39235.140784
-4.803441,16,39238.822565
-136.905344,56,39250.881107
-21.389238,23,39256.016704
-160.60667,192,39296.254116
-64.543202,159,39329.675615
-88.869245,49,39340.332066
-41.157938,84,39358.20866
-145.402991,120,39383.508679
-68.303295,49,39394.07221
9.944039,51,39405.203547
-312.610484,228,39452.956515
-48.633264,34,39460.402189
-11.345582,133,39488.555816
7.840141,10,39491.118981
-85.033603,129,39518.455333
-9.848494,35,39526.118158
0.940363,22,39531.206403
-33.427619,26,39537.035164
60.6688,37,39545.060156
-42.659518,31,39551.903962
-13.536384,18,39556.099973
-14.053489,23,39561.304012
-537.852895,381,39640.93157
-120.58846,85,39659.078001
20.909357,35,39666.722904
-7.980426,43,39676.023302
39.863956,58,39688.474329
16.246686,20,39693.04397
33.673722,45,39702.78277
43.243697,52,39713.916473
-87.17692,51,39724.984403
-104.324048,135,39753.373978
-158.46563,95,39773.520073
21.681007,12,39776.371643
-176.14328,188,39816.025711
-3.364905,6,39817.679574
-234.861884,10000,41898.327077
-233.790067,10000,43977.929387
-232.36684,10000,46057.777178
-234.551123,10000,48137.394727
-233.035766,10000,50216.814324
0.837698,15,50220.315375
-225.618532,195,50261.347529
17.971138,14,50264.646262
-293.393092,165,50299.286362
-53.552676,99,50320.413575
39.032568,39,50328.893896
69.081044,28,50335.122749
-187.201022,187,50374.470533
-56.592793,67,50388.824789
-148.622526,117,50413.546333
-3.420306,18,50417.689974
0.327602,11,50420.352021
68.527999,59,50433.106309
111.346589,127,50459.90063
-116.60984,107,50482.527469
33.631447,64,50496.361335
55.437852,20,50500.928342
4.556025,9,50503.16196
-26.72105,14,50506.49405
40.359792,27,50512.531326
-121.968222,111,50535.982857
34.11274,58,50548.422089
6.510594,44,50558.079733
-40.79749,53,50569.49868
-47.264554,41,50578.445289
97.109011,22,50583.423631
-86.594571,60,50596.32102
-134.432346,178,50633.747109
-56.068178,64,50647.401853
-8.665358,10,50649.896254
11.469857,59,50662.551589
2.490961,7,50664.442679
6.989147,89,50683.45448
-2.102649,36,50691.33401
20.614401,57,50703.531048
-95.724174,72,50718.862125
-58.760796,46,50728.822745
324.098946,99,50749.774934
-20.956385,16,50753.49253
-114.306408,233,50802.321672
-58.453611,30,50809.039804
-178.713633,193,50849.491349
134.968545,49,50860.035215
-128.243733,139,50889.313864
-21.094425,25,50894.87943
-9.984751,119,50920.008446
6.236018,8,50922.046278
164.801617,50,50932.96311
18.978865,50,50943.769722
76.51347,38,50952.017475
-138.132952,195,50993.057161
-29.643303,19,50997.419005
38.249734,34,51004.889115
-13.983226,29,51011.329267
-159.139826,72,51026.711481
11.85581,44,51036.280884
38.210912,20,51040.853353
4.04257,9,51043.079962
-145.337749,110,51066.442801
18.298224,22,51071.45016
4.100178,13,51074.628239
-0.225649,15,51078.152258
-36.08523,138,51107.227314
-20.376687,32,51114.310236
2.302301,11,51117.001319
-97.525744,82,51134.427392
186.155843,59,51147.08658
42.013626,29,51153.518062
-23.325842,81,51170.73601
24.106968,21,51175.517437
0.014768,158,51208.842265
9.021582,38,51217.141396
-32.305992,41,51225.989585
-17.750453,14,51229.284404
-32.467041,24,51234.707595
14.699405,29,51241.056465
-65.228726,98,51261.877292
4.816513,13,51265.014087
-16.892766,29,51271.415147
-39.134784,19,51275.79704
-319.130785,198,51317.410935
-154.713807,110,51340.635075
-35.340936,31,51347.450098
-64.676218,44,51356.974259
13.194215,14,51360.308755
-76.887747,30,51366.883308
-32.153701,89,51385.801634
-60.501899,50,51396.592445
-250.81065,142,51426.506594
2.02617,8,51428.501776
-195.481177,146,51459.177722
-15.586726,35,51466.895005
79.402083,125,51493.267188
-37.905829,66,51507.430787
-6.278324,27,51513.444702
22.882678,12,51516.312011
9.395196,19,51520.644347
6.629261,7,51522.454541
55.966121,28,51528.646137
-77.620175,38,51536.929079
-116.192538,69,51551.631083
-222.210511,315,51617.58186
2.053021,13,51620.725865
9.770958,18,51624.919672
6.807336,29,51631.30216
-81.302187,76,51647.554553
-25.343633,57,51659.759177
8.344426,8,51661.848374
30.20257,15,51665.34888
158.71754,112,51689.012858
8.436033,9,51691.337608
108.050301,55,51703.188144
8.331844,10,51705.661975
-20.463389,22,51710.619092
5.82772,8,51712.708127
-58.326623,71,51727.876473
269.787692,64,51741.591107
-24.678975,108,51764.417677
73.950735,21,51769.226788
-160.694182,123,51795.154424
-1.593471,15,51798.757778
20.149392,27,51804.76588
-87.952609,51,51815.796051
-0.712235,9,51818.059869
2.96627,15,51821.608677
25.851389,27,51827.549733
13.131696,94,51847.479881
2.140954,9,51849.786984
-4.682128,9,51852.075082
437.586703,159,51885.637742
37.50766,23,51890.831303
-4.633403,14,51894.156226
2.006844,16,51897.856797
11.083347,26,51903.606967
-21.164533,26,51909.404819
87.287031,32,51916.517216
-18.16154,33,51923.79183
-19.006186,63,51937.283793
-196.471888,93,51956.982656
-44.949474,24,51962.333252
10.473913,58,51974.807117
-63.677643,142,52004.79017
-4.885242,31,52011.595565
5.722701,13,52014.713991
-6.208362,20,52019.277106
1.095584,24,52024.686862
-14.662728,4,52025.863667
-30.484336,40,52034.564553
-107.092121,160,52068.212154
-71.071102,71,52083.4053
3.445258,22,52088.408712
104.935725,127,52115.154431
-31.170075,69,52129.961659
-7.033157,27,52135.995226
4.022357,7,52137.863933
6.895426,32,52144.934121
289.285934,145,52175.429562
-3.101949,10,52177.932313
-41.738873,27,52183.914431
-5.49287,9,52186.247505
-11.93581,39,52194.829037
-224.06777,101,52216.152826
32.32858,23,52221.348596
-39.379733,52,52232.477886
-56.660099,15,52235.968573
-1.786844,11,52238.699726
-161.075985,96,52259.080028
50.596708,23,52264.276699
-10.419303,23,52269.4844
16.188145,14,52272.773128
-155.07467,103,52294.578698
-21.819405,43,52303.91275
46.690105,71,52319.172324
-50.271958,19,52323.514244
15.01918,29,52329.932338
-6.682781,17,52333.897549
-7.048416,13,52336.966276
-19.573963,86,52355.204702
-52.122648,29,52361.628182
-235.362756,10000,54448.448123
-230.901643,10000,56528.455275
-224.346374,10000,58608.083112
-232.75674,10000,60687.902292
-235.320951,10000,62767.509674
104.389337,37,62775.715245
8.705483,12,62778.602333
-107.324441,99,62799.569473
-41.747859,67,62813.883985
54.238388,68,62828.405899
122.182975,108,62851.377901
137.681133,63,62864.866933
12.226045,161,62898.706447
-21.665848,79,62915.641522
-101.746957,128,62942.630625
-62.597628,55,62954.427406
-38.327907,32,62961.458205
22.55885,16,62965.331969
12.898857,10,62967.81421
-7.968766,110,62991.058528
-94.506035,67,63005.444447
-51.196773,137,63034.375463
11.746183,11,63037.079586
45.854696,16,63040.779772
47.526887,43,63050.127936
-40.494267,75,63066.052818
602.820588,317,63132.297446
65.63883,32,63139.337423
67.485186,23,63144.515302
76.740608,66,63158.692923
-10.018608,10,63161.163502
11.107125,8,63163.239291
-83.863153,67,63177.476603
323.270239,89,63196.344244
-122.428831,33,63203.633158
294.343973,70,63218.5809
-188.833139,130,63245.999686
85.447364,122,63271.726686
-25.394898,48,63282.031287
-52.50548,29,63288.482284
-62.413137,39,63296.966959
-29.455969,51,63307.984873
-4.028975,11,63310.72789
-89.834672,82,63328.09768
-5.751437,26,63333.895602
-47.275183,46,63343.954243
50.410709,23,63349.17141
-22.073679,5,63350.667524
-55.581418,64,63364.307782
-177.859239,137,63393.198529
42.290147,36,63401.040372
14.150258,9,63403.295139
-94.811486,65,63417.350862
-36.986965,50,63428.111647
-13.315487,53,63439.562623
-17.264449,13,63442.692293
-59.1699,33,63449.971394
6.858598,29,63456.35982
-35.513903,24,63461.849466
-67.00857,112,63485.530392
5.590474,9,63487.809202
79.997869,84,63505.70591
-40.40717,32,63512.727942
-19.877334,29,63519.153105
-12.856822,13,63522.299013
-95.892438,36,63530.261266
30.79252,47,63540.408255
86.165103,23,63545.538862
12.042981,76,63561.698454
-29.514324,16,63565.429734
28.654824,29,63571.898606
-19.539474,26,63577.726171
1.066294,35,63585.385309
78.150332,27,63591.437854
-47.435249,41,63600.328445
-16.447068,17,63604.245013
7.212144,9,63606.513063
10.175749,8,63608.595281
6.880155,80,63625.543858
34.191656,18,63629.641027
10.59088,10,63632.113106
-49.361209,46,63642.096898
155.725607,95,63662.321956
14.354364,248,63714.384396
-56.290247,57,63726.561806
-38.627655,47,63736.773853
12.029956,18,63740.980103
-7.07996,11,63743.628784
-27.415878,21,63748.419118
8.096451,15,63751.891298
117.911828,56,63763.858189
-63.949961,37,63771.908646
15.434978,20,63776.421425
29.522452,18,63780.592231
185.572022,61,63793.678282
-6.196046,15,63797.211203
-56.239272,64,63810.923815
-15.638946,52,63822.150843
17.451654,18,63826.240578
19.199985,38,63834.571184
-59.115358,64,63848.378982
-7.305967,28,63854.604219
49.659881,104,63876.575881
-117.150357,60,63889.42695
15.469109,12,63892.312061
-35.870398,238,63942.104999
-6.261174,4,63943.302332
-259.700816,117,63968.044868
24.622913,22,63973.126858
3.991425,20,63977.720827
7.748347,14,63981.024764
24.028523,13,63984.132935
65.344278,41,63993.07877
-117.140369,96,64013.453534
-75.276232,43,64022.811231
-31.310536,31,64029.626347
9.488077,16,64033.388596
128.250794,120,64058.775245
-30.274418,36,64066.603211
9.980047,53,64078.054889
-27.054938,115,64102.453257
10.303789,46,64112.434324
-119.377596,50,64123.26396
-51.608018,40,64132.008258
-74.926727,77,64148.390199
-12.866886,16,64152.142213
8.766646,8,64154.220076
-10.71845,4,64155.44703
-2.534878,13,64158.516072
-51.846406,31,64165.460846
-93.204357,86,64183.782167
25.473545,56,64195.861002
16.862099,14,64199.227967
-28.287587,39,64207.717307
-94.617064,62,64220.943403
-131.0159,149,64252.34159
12.356742,8,64254.421124
104.601314,70,64269.300415
-22.811176,25,64274.923051
-127.11718,35,64282.567846
-57.615722,33,64289.834587
25.148666,27,64295.911894
127.167141,33,64303.191259
-27.843995,14,64306.486196
-12.606003,24,64311.838783
-212.429535,274,64369.20335
203.62323,136,64397.832285
-41.011275,29,64404.265707
-7.323192,63,64417.873297
-34.704519,24,64423.296322
-45.611106,53,64434.739245
